id;level;descricao;origem;data_log;numero_ocorrencias
1;WARNING;world-class Frozen IB;Highway Ergonomic;2019-10-16T03:23:41;31098
2;TRACE;Mississippi embrace Developer;synthesize Idaho compress;2019-10-16T00:26:36;4043
3;WARNING;Intelligent Outdoors;Harbor Montana;2019-10-15T19:36:08;90756
4;WARNING;Saint Lucia white;Generic neutral Salad;2019-10-15T13:58:55;62435
5;WARNING;maroon;EXE projection Fresh;2019-10-16T03:44:36;31800
6;TRACE;cutting-edge ability Hat;supply-chains magenta;2019-10-16T09:25:03;26941
7;TRACE;Mauritania;facilitate Tasty Concrete Chips Exclusive;2019-10-15T19:35:00;49724
8;TRACE;Analyst paradigms;encompassing;2019-10-15T14:29:46;63435
9;TRACE;Berkshire Designer;Credit Card Account;2019-10-16T10:21:14;76161
10;ERROR;Point Orchestrator;Solomon Islands Licensed;2019-10-15T16:14:50;15071
